Time,Waiting Time
1,0
1.22022,0
1.22025,3.00E-05
1.22056,0.00034
1.22087,0.00065
1.22119,0.00097
1.2215,0.00128
1.22182,0.0016
1.22213,0.00191
1.22245,0.00223
1.22276,0.00254
1.22308,0.00286
1.44145,0
1.44176,0.00031
1.44302,0
1.44334,0.00032
1.44365,0.00063
1.44459,0
1.44491,0.00032
1.44522,0.00063
1.44617,0
1.44648,0.00031
1.4468,0.00063
1.44774,0
1.44806,0.00032
1.44837,0.00063
1.64853,0
1.64884,0.00031
1.66344,0
1.66375,0.00031
1.66407,0.00063
1.66501,0
1.66532,0.00031
1.66564,0.00063
1.66658,0
1.6669,0.00032
1.66721,0.00063
1.66816,0
1.66847,0.00031
1.66879,0.00063
1.66973,0
1.67004,0.00031
1.67036,0.00063
1.6713,0
1.67162,0.00032
1.67193,0.00063
1.67288,0
1.67319,0.00031
1.67351,0.00063
1.87052,0
1.87083,0.00031
1.87115,0.00063
1.88543,0
1.88574,0.00031
1.88605,0.00062
1.887,0
1.88731,0.00031
1.88763,0.00063
1.88857,0
1.88889,0.00032
1.8892,0.00063
1.89015,0
1.89046,0.00031
1.89077,0.00062
1.89172,0
1.89203,0.00031
1.89235,0.00063
1.89329,0
1.89361,0.00032
1.89392,0.00063
1.89487,0
1.89518,0.00031
1.89549,0.00062
1.89644,0
1.89675,0.00031
1.89707,0.00063
1.89801,0
1.89833,0.00032
1.89864,0.00063
1.89959,0
1.8999,0.00031
1.90021,0.00062
2.09172,0
2.09203,0.00031
2.09235,0.00063
2.09329,0
2.09361,0.00032
2.09392,0.00063
2.10741,0
2.10773,0.00032
2.10804,0.00063
2.10899,0
2.1093,0.00031
2.10962,0.00063
2.11056,0
2.11088,0.00032
2.11119,0.00063
2.11213,0
2.11245,0.00032
2.11276,0.00063
2.11371,0
2.11402,0.00031
2.11434,0.00063
2.11528,0
2.1156,0.00032
2.11591,0.00063
2.11685,0
2.11717,0.00032
2.11748,0.00063
2.11843,0
2.11874,0.00031
2.11906,0.00063
2.12,0
2.12032,0.00032
2.12063,0.00063
2.12157,0
2.12189,0.00032
2.1222,0.00063
2.12315,0
2.12346,0.00031
2.12378,0.00063
2.12472,0
2.12504,0.00032
2.12535,0.00063
2.12629,0
2.12661,0.00032
2.12692,0.00063
2.12787,0
2.12818,0.00031
2.1285,0.00063
2.12944,0
2.12976,0.00032
2.13007,0.00063
2.31371,0
2.31402,0.00031
2.31434,0.00063
2.31528,0
2.3156,0.00032
2.31591,0.00063
2.31685,0
2.31717,0.00032
2.31748,0.00063
2.3294,0
2.32972,0.00032
2.33003,0.00063
2.33098,0
2.33129,0.00031
2.33161,0.00063
2.33255,0
2.33286,0.00031
2.33318,0.00063
2.33412,0
2.33444,0.00032
2.33475,0.00063
2.3357,0
2.33601,0.00031
2.33633,0.00063
2.33727,0
2.33758,0.00031
2.3379,0.00063
2.33884,0
2.33916,0.00032
2.33947,0.00063
2.34042,0
2.34073,0.00031
2.34105,0.00063
2.34199,0
2.3423,0.00031
2.34262,0.00063
2.34356,0
2.34388,0.00032
2.34419,0.00063
2.34514,0
2.34545,0.00031
2.34577,0.00063
2.34671,0
2.34702,0.00031
2.34734,0.00063
2.34828,0
2.3486,0.00032
2.34891,0.00063
2.34986,0
2.35017,0.00031
2.35049,0.00063
2.35143,0
2.35174,0.00031
2.35206,0.00063
2.353,0
2.35332,0.00032
2.35363,0.00063
2.35458,0
2.35489,0.00031
2.35521,0.00063
2.35615,0
2.35646,0.00031
2.35678,0.00063
2.35772,0
2.35804,0.00032
2.35835,0.00063
2.3593,0
2.35961,0.00031
2.35993,0.00063
2.36087,0
2.36118,0.00031
2.3615,0.00063
2.36244,0
2.36276,0.00032
2.36307,0.00063
2.53491,0
2.53522,0.00031
2.53554,0.00063
2.53648,0
2.5368,0.00032
2.53711,0.00063
2.53806,0
2.53837,0.00031
2.53869,0.00063
2.53963,0
2.53994,0.00031
