Time ,CWND1,CWND3
3.26774,160264,160264
3.26932,160800,160800
3.27089,161336,161336
3.27246,161872,161872
3.27404,162408,162408
3.27561,162944,162944
3.27718,163480,163480
3.27876,164016,164016
3.28033,164552,164552
3.2819,165088,165088
3.28348,165624,165624
3.28505,166160,166160
3.28662,166696,166696
3.2882,167232,167232
3.28977,167768,167768
3.29134,168304,168304
3.29292,168840,168840
3.29449,169376,169376
3.29606,169912,169912
3.29764,170448,170448
3.29921,170984,170984
3.30078,171520,171520
3.30236,172056,172056
3.30393,172592,172592
3.3055,173128,173128
3.30708,173664,173664
3.30865,174200,174200
3.31022,174736,174736
3.3118,175272,175272
3.31337,175808,175808
3.31494,176344,176344
3.31652,176880,176880
3.31809,177416,177416
3.31966,177952,177952
3.32124,178488,178488
3.32281,179024,179024
3.32438,179560,179560
3.32596,180096,180096
3.32753,180632,180632
3.3291,181168,181168
3.33068,181704,181704
3.33225,182240,182240
3.33382,182776,182776
3.3354,183312,183312
3.33697,183848,183848
3.33854,184384,184384
3.34012,184920,184920
3.34169,185456,185456
3.34326,185992,185992
3.34484,186528,186528
3.34641,187064,187064
3.34798,187600,187600
3.34956,188136,188136
3.35113,188672,188672
3.3527,189208,189208
3.35428,189744,189744
3.35585,190280,190280
3.35742,190816,190816
3.359,191352,191352
3.36057,191888,191888
3.36214,192424,192424
3.36372,192960,192960
3.3646,193496,193496
3.36598,194032,194032
3.36755,194568,194568
3.36893,195104,195104
3.3703,195640,195640
3.37188,196176,196176
3.37325,196712,196712
3.37463,197248,197248
3.3762,197784,197784
3.37758,198320,198320
3.37895,198856,198856
3.38053,199392,199392
3.3819,199928,199928
3.38328,200464,200464
3.38485,201000,201000
3.38623,201536,201536
3.3876,202072,202072
3.38918,202608,202608
3.42136,203144,203144
3.42274,203680,203680
3.42431,204216,204216
3.42604,204752,204752
3.42741,205288,205288
3.42899,205824,205824
3.43036,206360,206360
3.43174,206896,206896
3.43331,207432,207432
3.43469,207968,207968
3.43606,208504,208504
3.43764,209040,209040
3.43901,209576,209576
3.44039,210112,210112
3.44196,210648,210648
3.44334,211184,211184
3.44471,211720,211720
3.44629,212256,212256
3.44766,212792,212792
3.44904,213328,213328
3.45061,213864,213864
3.45199,214400,214400
3.45336,214936,214936
3.45494,215472,215472
3.45631,216008,216008
3.45769,216544,216544
3.45926,217080,217080
3.46064,217616,217616
3.46201,218152,218152
3.46359,218688,218688
3.46496,219224,219224
3.46634,219760,219760
3.46791,220296,220296
3.46929,220832,220832
3.47067,221368,221368
3.47224,221904,221904
3.47361,222440,222440
3.47499,222976,222976
3.47656,223512,223512
3.47794,224048,224048
3.47932,224584,224584
3.48089,225120,225120
3.48227,225656,225656
3.48364,226192,226192
3.48521,226728,226728
3.48659,227264,227264
3.48797,227800,227800
3.48954,228336,228336
3.49092,228872,228872
3.49229,229408,229408
3.49387,229944,229944
3.49524,230480,230480
3.49662,231016,231016
3.49819,231552,231552
3.49957,232088,232088
3.50094,232624,232624
3.50252,233160,233160
3.50389,233696,233696
3.50527,234232,234232
3.50684,234768,234768
3.50822,235304,235304
3.50959,235840,235840
3.51117,236376,236376
3.51254,236912,236912
3.51392,237448,237448
3.51549,237984,237984
3.51687,238520,238520
3.51824,239056,239056
3.51982,239592,239592
3.52119,240128,240128
3.52257,240664,240664
3.52414,241200,241200
3.52552,241736,241736
3.52689,242272,242272
3.52847,242808,242808
3.52984,243344,243344
3.53122,243880,243880
3.53279,244416,244416
3.53417,244952,244952
3.53555,245488,245488
3.53712,246024,246024
3.53849,246560,246560
3.53987,247096,247096
3.54144,247632,247632
3.54282,248168,248168
3.5442,248704,248704
3.54577,249240,249240
3.54715,249776,249776
3.54852,250312,250312
3.55009,250848,250848
3.55147,251384,251384
3.55285,251920,251920
3.55442,252456,252456
3.5558,252992,252992
3.55717,253528,253528
3.55875,254064,254064
3.56012,254600,254600
3.5615,255136,255136
3.56307,255672,255672
3.56445,256208,256208
3.56582,256744,256744
3.5674,257280,257280
3.56877,257816,257816
3.57015,258352,258352
3.57172,258888,258888
3.5731,259424,259424
3.57447,259960,259960
3.57605,260496,260496
3.57742,261032,261032
3.5788,261568,261568
3.58037,262104,262104
3.58175,262640,262640
3.58312,263176,263176
3.5847,263712,263712
3.58607,264248,264248
3.58745,264784,264784
3.58902,265320,265320
3.5904,265856,265856
3.59177,266392,266392
3.59335,266928,266928
3.59472,267464,267464
